Chapter,Part of Speech,Lang,English
1,pronoun,mē,"me, myself"
1,pronoun,quid,what
1,noun (indeclinable),"nihil, n.",nothing
1,adverb,nōn,not
1,adverb,saepe,often
1,conjunction,sī,if
1,verb (1),"amō, amāre, amāvī, amātum","to love, like (amabo te: please (I will love you))"
1,verb (1),"cōgitō, cōgitāre, cōgitāvī, cōgitātum","to think, ponder, consider, plan"
1,verb (2),"dēbeō, dēbēre, dēbuī, dēbitum","to owe; ought, must"
1,verb (1),"dō, dare, dedī, datum","to give, offer"
1,verb (1),"errō, errāre, errāvī, errātum","to wander, err, go astray, be mistaken"
1,verb (1),"laudō, laudāre, laudāvī, laudātum",to praise
1,verb (2),"moneō, monēre, monuī, monitum","to remind, advise, warn"
1,verb (2),"salveō, salvēre, -, -","to be well, be in good health (salve and salvete: hello)"
1,verb (1),"servō, servāre, servāvī, servātum","to preserve, save, keep, guard"
1,verb (1),"cōnservō, cōnservāre, cōnservāvī, cōnservātum","to preserve, conserve, maintain (stronger than servo)"
1,verb (2),"terreō, terrēre, terruī, territum","to frighten, terrify"
1,verb (2),"valeō, valēre, valuī, valitūrum","to be strong, have power; be well (vale and valete: good-bye, farewell)"
1,verb (2),"videō, vidēre, vīdī, vīsum","to see; observe, understand"
1,verb (1),"vocō, vocāre, vocāvī, vocātum","to call, summon"
2,noun (1),"fāmā, -ae, f.","rumour, report; fame, reputation"
2,noun (1),"fōrma, -ae, f.","form, shape; beauty"
2,noun (1),"fortūna, -ae, f.","fortune, luck"
2,noun (1),"īra, -ae, f.","ire, anger"
2,noun (1),"nauta, -ae, m.",sailor
2,noun (1),"patria, -ae, f.","fatherland, native land, (one's) country"
2,noun (1),"pecūnia, -ae, f.",money
2,noun (1),"philosophia, -ae, f.",philosophy (Greek philosophia: love of wisdom)
2,noun (1),"poena, -ae, f.","penalty, punishment (idiom, poenas dare: to pay the penalty)"
2,noun (1),"poēta, -ae, m.",poet
2,noun (1),"porta, -ae, f.","gate, entrance"
2,noun (1),"puella, -ae, f.",girl
2,noun (1),"rosā, -ae, f.",rose
2,noun (1),"sententia, -ae, f.","feeling, thought, opinion, vote, sentence"
2,noun (1),"vīta, -ae, f.",life; mode of life
2,adjective,"antīquus, -ā, -um","ancient, old-time"
2,adjective,"magnus, -ā, -um","large, great, important"
2,adjective,"meus, -ā, -um",my
2,adjective,"multus, -ā, -um","much, many"
2,adjective,"tuus, -ā, -um",your (used when speaking to one person)
2,conjunction,et,and (et...et: both...and)
2,conjunction,sed,but
2,interjection,Ō,"O!, Oh! (commonly used with the vocative)"
2,preposition,sine,without (takes ablative)
